Id,Text,Note
10001039,达,
10001040,信,
10001041,无尘,
10001042,观海,
10001043,平康,
10001044,耀扬,
10001045,之轩,
10001046,清夜,
10001047,天奇,
10001048,云龙,
10001049,一飞,
10001050,思远,
10001051,陶然,
10001052,凌风,
10001053,墨言,
10001054,其琛,
10001055,丹枫,
10001056,景涛,
10001057,重霄,
10001058,子羽,
10001059,铁山,
10001060,一鸣,
10001061,晓风,
10001062,宇恒,
10001063,立坤,
10001064,天昊,
10001065,光尧,
10001066,子健,
10001067,腾,
10001068,逸,
10001069,桢,
10001070,翰,
10001071,牧,
10001072,玄,
10001073,傲,
10001074,泰,
10001075,鹏,
10001076,烈,
10001077,航,
10001078,帆,
10001079,璋,
10001080,野,
10001081,,
10001082,,
10001083,,
10001084,,
10001085,,
10001086,,
10001087,,
10001088,,
10001089,,
10001090,,
10001091,,
10001092,,
10001093,,
10001094,,
10001095,,
10001096,,
10001097,,
10001098,,
10001099,,
10001100,,
10002001,青璇,女名
10002002,霓裳,
10002003,靖容,
10002004,沅芷,
10002005,秋水,
10002006,邀月,
10002007,意卿,
10002008,婉清,
10002009,红玉,
10002010,娇珑,
10002011,佳懿,
10002012,文蔚,
10002013,绮丝,
10002014,紫衫,
10002015,盈盈,
10002016,幼薇,
10002017,疏影,
10002018,灵素,
10002019,闻樱,
10002020,非烟,
10002021,绛雪,
10002022,玄霜,
10002023,冰燕,
10002024,星竹,
10002025,明兰,
10002026,青青,
10002027,雪宜,
10002028,轻容,
10002029,惊鸿,
10002030,碧君,
10002031,纤纤,
10002032,楚楚,
10002033,小昭,
10002034,含真,
10002035,霜,
10002036,慧,
10002037,虹,
10002038,珊,
10002039,蓉,
10002040,洁,
10002041,出云,
10002042,兰若,
10002043,宛君,
10002044,见月,
10002045,染衣,
10002046,紫桦,
10002047,青莲,
10002048,银心,
10002049,如意,
10002050,舞雨,
10002051,霁云,
10002052,梦露,
10002053,梓晴,
10002054,灵之,
10002055,清扬,
10002056,婉华,
10002057,凌云,
10002058,依依,
10002059,雅南,
10002060,采薇,
10002061,嫣然,
10002062,七七,
10002063,馨宁,
10002064,晴川,
10002065,清岚,
10002066,玉珂,
10002067,瑶珈,
10002068,嘉音,
10002069,天爱,
10002070,芳凝,
10002071,悦桐,
10002072,歆儿,
10002073,柔,
10002074,敏,
10002075,樱,
10002076,绯,
10002077,玥,
10002078,素,
10002079,倩,
10002080,湄,
10002081,,
10002082,,
10002083,,
10002084,,
10002085,,
10002086,,
10002087,,
10002088,,
10002089,,
10002090,,
10002091,,
10002092,,
10002093,,
10002094,,
10002095,,
10002096,,
10002097,,
10002098,,
10002099,,
10002100,,
10003001,逍遥,男形容词
10003002,幽冥,
10003003,无情,
10003004,灭世,
10003005,平天,
10003006,焚天,
10003007,沧澜,
10003008,星宿,
10003009,八荒,
10003010,惊天,
10003011,九命,
10003012,天枢,
10003013,天权,
10003014,开阳,
10003015,冷血,
10003016,风流,
10003017,潇洒,
10003018,狂霸,
10003019,冷面,
10003020,铁面,
10003021,乾坤,
10003022,玄冥,
10003023,夺命,
10003024,武道,
10003025,无双,
10003026,绝世,
10003027,百战,
10003028,血踪,
10003029,邪魅,
10003030,狷狂,
10003031,九州,
10003032,神剑,
10003033,不败,
10003034,,
10003035,,
10003036,,
10003037,,
10003038,,
10003039,,
10003040,,
10003041,,
10003042,,
10003043,,
10003044,,
10003045,,
10003046,,
10003047,,
10003048,,
10003049,,
10003050,,
10003051,,
10003052,,
10003053,,
10003054,,
10003055,,
10003056,,
10003057,,
10003058,,
10003059,,
10003060,,
10003061,,
10003062,,
10003063,,
10003064,,
10003065,,
10003066,,
10003067,,
10003068,,
10003069,,
10003070,,
10003071,,
10003072,,
10003073,,
10003074,,
10003075,,
10003076,,
10003077,,
10003078,,
10003079,,
10003080,,
10003081,,
10003082,,
10003083,,
10003084,,
10003085,,
10003086,,
10003087,,
10003088,,
10003089,,
10003090,,
10003091,,
10003092,,
10003093,,
10003094,,
10003095,,
10003096,,
10003097,,
10003098,,
10003099,,
10003100,,
10004001,先生,男名词
10004002,上人,
10004003,少主,
10004004,君子,
10004005,公子,
10004006,剑仙,
10004007,战神,
10004008,行者,
10004009,浪子,
10004010,狂侠,
10004011,郎君,
10004012,刀皇,
10004013,剑圣,
10004014,豪杰,
10004015,书生,
10004016,刀狂,
10004017,英杰,
10004018,相公,
10004019,霸王,
10004020,少爷,
10004021,大侠,
10004022,真人,
10004023,天尊,
10004024,居士,
10004025,判官,
10004026,神君,
10004027,散人,
10004028,名士,
10004029,尊者,
10004030,屠夫,
10004031,一点红,
10004032,,
10004033,,
10004034,,
10004035,,
10004036,,
10004037,,
10004038,,
10004039,,
10004040,,
10004041,,
10004042,,
10004043,,
10004044,,
10004045,,
10004046,,
10004047,,
10004048,,
10004049,,
10004050,,
10004051,,
10004052,,
10004053,,
10004054,,
10004055,,
10004056,,
10004057,,
10004058,,
10004059,,
10004060,,
10004061,,
10004062,,
10004063,,
10004064,,
10004065,,
10004066,,
10004067,,
10004068,,
10004069,,
10004070,,
10004071,,
10004072,,
10004073,,
10004074,,
10004075,,
10004076,,
10004077,,
10004078,,
10004079,,
10004080,,
10004081,,
10004082,,
10004083,,
10004084,,
10004085,,
10004086,,
10004087,,
10004088,,
10004089,,
10004090,,
10004091,,
10004092,,
10004093,,
10004094,,
10004095,,
10004096,,
10004097,,
10004098,,
10004099,,
10004100,,
10005001,凌波,女形容词
10005002,绝代,
10005003,扶摇,
10005004,玉衡,
10005005,摇光,
10005006,天璇,
10005007,天玑,
10005008,九霄,
10005009,倾城,
10005010,国色,
10005011,天香,
10005012,窈窕,
10005013,楚楚,
10005014,天骄,
10005015,玉面,
10005016,倾国,
10005017,倾世,
10005018,素手,
10005019,千娇,
10005020,百媚,
10005021,潇湘,
10005022,出云,
10005023,风华,
10005024,瑶台,
10005025,千面,
10005026,飞天,
10005027,雪衣,
10005028,妙心,
10005029,灵慧,
10005030,芙蓉,
10005031,玲珑,
10005032,琅嬛,
10005033,赤练,
10005034,,
10005035,,
10005036,,
10005037,,
10005038,,
10005039,,
10005040,,
10005041,,
10005042,,
10005043,,
10005044,,
10005045,,
10005046,,
10005047,,
10005048,,
10005049,,
10005050,,
10005051,,
10005052,,
10005053,,
10005054,,
10005055,,
10005056,,
10005057,,
10005058,,
10005059,,
10005060,,
10005061,,
10005062,,
10005063,,
10005064,,
10005065,,
10005066,,
10005067,,
10005068,,
10005069,,
10005070,,
10005071,,
10005072,,
10005073,,
10005074,,
10005075,,
10005076,,
10005077,,
10005078,,
10005079,,
10005080,,
10005081,,
10005082,,
10005083,,
10005084,,
10005085,,
10005086,,
10005087,,
10005088,,
10005089,,
10005090,,
10005091,,
10005092,,
10005093,,
10005094,,
10005095,,
10005096,,
10005097,,
10005098,,
10005099,,
10005100,,
10006001,伊人,女名词
10006002,妖姬,
10006003,仙子,
10006004,婵娟,
10006005,丽人,
10006006,玉女,
10006007,夫人,
10006008,佳人,
10006009,芳主,
10006010,飞仙,
10006011,娘子,
10006012,圣姑,
10006013,圣女,
10006014,神女,
10006015,才女,
10006016,公主,
10006017,碧玉,
10006018,天女,
10006019,玄女,
10006020,娇娃,
10006021,娇娘,
10006022,红颜,
10006023,天妃,
10006024,娘子,
10006025,仙姝,
10006026,仙姑,
10006027,凤凰,
10006028,侠女,
10006029,魔女,
10006030,仙姬,
10006031,花主,
10006032,,
10006033,,
10006034,,
10006035,,
10006036,,
10006037,,
10006038,,
10006039,,
10006040,,
10006041,,
10006042,,
10006043,,
10006044,,
10006045,,
10006046,,
10006047,,
10006048,,
10006049,,
10006050,,
10006051,,
10006052,,
10006053,,
10006054,,
10006055,,
10006056,,
10006057,,
10006058,,
10006059,,
10006060,,
10006061,,
10006062,,
10006063,,
10006064,,
10006065,,
10006066,,
10006067,,
10006068,,
10006069,,
10006070,,
10006071,,
10006072,,
10006073,,
10006074,,
10006075,,
10006076,,
10006077,,
10006078,,
10006079,,
10006080,,
10006081,,
10006082,,
10006083,,
10006084,,
10006085,,
10006086,,
10006087,,
10006088,,
10006089,,
10006090,,
10006091,,
10006092,,
10006093,,
10006094,,
10006095,,
10006096,,
10006097,,
10006098,,
10006099,,
10006100,,
